"pid","NAME","CLASS","POSITION","TPE","CREATED","LINK","USER","USERLINK","JOINED","LAST VISIT","ONLINE FOR","BANK BALANCE","SHL TEAM","IIHF NATION","REPUTATION","ACTIVE","HANDEDNESS","JERSEY NUMBER","HEIGHT","WEIGHT","BIRTHPLACE","TPE AVAILABLE","franchiseID","teamID","team","Inaugural.Season","leagueID","abbr","primary","secondary","alt1","alt2","screening","gettingOpen","passing","puckhandling","shootingAccuracy","shootingRange","offensiveRead","checking","hitting","positioning","stickchecking","shotBlocking","faceoffs","defensiveRead","acceleration","agility","balance","speed","stamina","strength","fighting","aggression","bravery","determination","teamPlayer","leadership","temperament","professionalism","blocker","glove","pokeCheck","rebound","recovery","lowShots","reflexes","skating","mentalToughness","goaltenderStamina","CLEAN_NAME","RENDER","75_Create","75_activity check","75_other","75_training","75_training camp","75_seasonal coaching","75_point task","75_correction","75_recruitment","75_Unretire","75_fantasy","74_Create","74_activity check","74_other","74_training","74_seasonal coaching","74_training camp","74_point task","73_Create","73_other","73_activity check","73_training","73_point task","73_seasonal coaching","73_training camp","74_correction","72_Create","72_activity check","72_other","72_seasonal coaching","72_training","72_training camp","74_recruitment","74_fantasy","72_initial","72_point task","72_fantasy","75_regression","73_regression","72_regression","73_correction","73_recruitment","72_correction"
662,"Sergey Ivanov","S74","Left Defense",581,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/662","Arctic","https://simulationhockey.com/member.php?action=profile&uid=6367",2022-07-18,2024-04-13,300720,3560000,0,"Czechia",1,"Active","Left",89,"6ft 1in",195,"Yelizovo, Russia",156,66,77,"San Diego Tidal",76,1,"SDT","#F0661D","#25B6B3","#0D1927",NA,5,15,13,15,13,13,15,13,13,14,12,13,5,14,14,13,13,13,14,14,5,5,9,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sergey Ivanov","a Polar Bear",NA,18,NA,45,30,NA,23,NA,NA,NA,NA,NA,18,NA,45,28,24,44,NA,2,16,24,53,5,NA,NA,NA,2,NA,15,3,14,NA,6,166,NA,NA,NA,NA,NA,NA,NA,NA
661,"Leo Roze","S74","Left Defense",836,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/661","vic03","https://simulationhockey.com/member.php?action=profile&uid=5903",2021-10-27,2024-04-11,567240,15761200,1,"Latvia",10,"Active","Right",59,"6ft 6in",240,"Jelgava, Latvia",411,62,72,"Quebec City Citadelles",55,1,"QCC","#1d9bee","#34476b","#ec2e61","#d5d5d5",5,12,13,13,9,9,12,15,13,14,14,14,5,14,13,13,14,15,15,15,6,10,10,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leo Roze","nikita zadorov",NA,28,NA,65,30,56,159,NA,NA,NA,9,NA,18,NA,45,28,24,70,NA,8,16,24,57,NA,NA,NA,NA,2,NA,20,3,14,NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA
660,"Teal'c","S74","Left Defense",588,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/660","DELIRIVM","https://simulationhockey.com/member.php?action=profile&uid=4866",2020-05-12,2024-03-14,2170800,19134000,5,"France",63,"IA","Right",70,"6ft 1in",190,"Lorgies (by way of the 818), France",163,57,70,"Maine Timber",53,1,"MET","#082a17","#85714d","#095f30","",5,14,15,15,13,13,15,14,13,12,13,13,5,14,13,11,13,14,14,14,5,5,7,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Teal'c","Teal'c",NA,8,NA,20,18,28,27,NA,NA,NA,3,NA,18,NA,45,28,24,66,NA,7,16,24,62,NA,NA,NA,NA,2,NA,20,3,14,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA
659,"Deep Thought","S74","Right Wing",812,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/659","Vulfzilla","https://simulationhockey.com/member.php?action=profile&uid=5840",2021-08-23,2024-04-14,381420,5751000,0,"Latvia",12,"Active","Right",42,"6ft 0in",190,"Basel, Switzerland",387,58,64,"Anchorage Armada",42,1,"ANC","#848482","#1e2d40","#7ea1d9","#fbb117",13,14,14,14,14,12,14,13,13,13,12,5,7,13,13,13,13,14,16,14,5,5,10,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deep Thought","Roope Hintz with a computer for a head",NA,26,NA,65,30,56,148,NA,NA,NA,4,NA,18,NA,45,28,24,70,NA,2,16,24,40,NA,NA,NA,NA,2,NA,20,3,14,NA,7,170,NA,NA,NA,NA,NA,NA,NA,NA
658,"Shawn Pawn","S74","Left Wing",838,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/658","hockeyiscool","https://simulationhockey.com/member.php?action=profile&uid=4635",2020-02-18,NA,NA,54682500,6,"Unassigned",85,"Active","Right",33,"6ft 0in",200,"City,",2,6,31,"Tampa Bay Barracuda",59,0,"TBB","#000000","#f499c2","#0ad2d2","#ffffff",9,17,15,16,15,9,16,13,5,13,13,5,5,14,17,13,18,17,16,15,5,5,6,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shawn Pawn","Bob Nystrom",NA,26,NA,65,30,56,147,NA,NA,NA,10,NA,18,NA,45,28,24,85,NA,2,16,24,57,NA,NA,-8,NA,2,15,20,3,14,NA,4,155,NA,NA,NA,NA,NA,NA,NA,NA
657,"Paul Bondage","S74","Right Defense",717,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/657","CaptainCamel","https://simulationhockey.com/member.php?action=profile&uid=5256",2020-11-18,2024-04-14,387060,8868333,18,"Germany",6,"Active","Right",67,"6ft 3in",220,"Berlin, Germany",297,53,53,"Kelowna Knights",2,1,"KEL","#003300","#e5d478","","",5,14,13,14,13,14,14,14,13,13,13,13,5,13,14,14,13,13,15,14,5,5,10,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paul Bondage","Filip Forsberg",NA,22,NA,55,30,56,94,NA,NA,NA,6,NA,14,NA,35,28,24,67,NA,2,14,21,49,NA,NA,NA,NA,2,NA,20,3,14,NA,6,155,NA,NA,NA,NA,NA,NA,NA,NA
656,"Pierre Mailloux","S74","Center",398,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/656","Wind Savon","https://simulationhockey.com/member.php?action=profile&uid=6295",2022-06-15,2024-03-30,64013,1050000,NA,"Canada",1,"Active","Right",49,"5ft 11in",175,"Normandin, Canada",0,60,69,"Newfoundland Berserkers",51,1,"NL","#4d4d4d","#ff0000","#cccccc","",5,13,16,15,11,10,15,11,10,11,10,9,13,11,15,14,13,15,14,13,6,7,9,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pierre Mailloux","Doc Pierre Mailloux",NA,20,NA,16,30,NA,NA,NA,NA,NA,NA,NA,18,NA,11,18,24,10,NA,13,16,20,9,20,14,NA,NA,2,NA,NA,2,NA,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA
655,"Bartholomew Chungus Gingersnap III","S74","Right Defense",845,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/655","thedangazone","https://simulationhockey.com/member.php?action=profile&uid=2613",2017-05-30,2024-04-11,7847712,39080000,14,"Latvia",66,"Active","Left",1,"6ft 1in",205,",",420,64,74,"Regina Elk",61,1,"REG","#2F0038","#FBBC19","#D4780D","",7,15,15,13,13,13,15,13,13,13,13,13,5,14,14,14,13,13,14,13,5,8,10,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bartholomew Chungus Gingersnap III","Stuffed Hamster",NA,26,NA,65,30,56,153,NA,NA,NA,10,NA,18,NA,45,28,24,72,NA,2,16,24,63,NA,NA,NA,NA,2,NA,20,3,14,NA,4,170,NA,NA,NA,NA,NA,NA,NA,NA
654,"John Peanut","S74","Left Defense",814,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/654","Chevy","https://simulationhockey.com/member.php?action=profile&uid=4307",2019-11-15,2024-04-12,6206112,129868978,20,"USA",121,"Active","Right",21,"5ft 11in",200,"St. Louis, United States",389,63,73,"Great Falls Grizzlies",61,1,"GFG","#b6985a","#936b48","#151211","",5,11,13,14,11,11,12,15,12,15,12,15,5,15,11,13,15,11,15,15,6,7,12,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Peanut","John Cena w/ Peanut Body",NA,26,NA,65,30,56,140,NA,NA,NA,5,NA,18,NA,45,28,24,70,NA,2,16,24,56,NA,NA,NA,NA,2,NA,20,3,14,NA,NA,170,NA,NA,NA,NA,NA,NA,NA,NA
653,"Johnny Patey V2","S74","Left Defense",850,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/653","JohnnyPatey","https://simulationhockey.com/member.php?action=profile&uid=5966",2021-12-19,2024-04-13,233880,4250000,0,"Finland",0,"Active","Left",11,"5ft 11in",195,"Helsinki, Finland",425,62,72,"Quebec City Citadelles",55,1,"QCC","#1d9bee","#34476b","#ec2e61","#d5d5d5",5,13,14,13,12,12,14,14,14,15,12,11,5,14,13,14,14,14,15,14,5,5,5,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Johnny Patey V2","Cale Makar",NA,26,NA,65,30,56,159,NA,NA,NA,11,NA,18,NA,45,28,24,73,NA,2,16,24,61,NA,NA,NA,NA,2,NA,20,3,14,NA,3,170,NA,NA,NA,NA,NA,NA,NA,NA
652,"Jaxson Reaper","S74","Left Defense",769,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/652","ViN","https://simulationhockey.com/member.php?action=profile&uid=2008",2015-10-18,2024-04-14,3319056,13315000,5,"Great Britain",34,"Active","Left",2,"5ft 11in",196,", Great Britain",8,13,19,"New England Wolfpack",13,0,"NEW","#006a36","#ffffff","#717276","",5,14,16,16,13,15,15,15,13,15,15,14,5,16,15,15,16,15,15,15,5,6,10,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jaxson Reaper","Ryan Lindgren",NA,26,NA,65,30,56,143,NA,NA,NA,NA,NA,18,NA,45,28,24,51,NA,2,16,24,32,20,14,NA,NA,2,NA,NA,3,NA,NA,NA,170,NA,NA,NA,NA,NA,NA,NA,NA
651,"Benny Hanna","S74","Left Wing",390,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/651","nahbruh123","https://simulationhockey.com/member.php?action=profile&uid=7786",2023-08-21,2024-02-22,22291,1000000,NA,"Japan",0,"IA","Right",25,"6ft 0in",200,"Shibuya, Japan",8,58,64,"Anchorage Armada",42,1,"ANC","#848482","#1e2d40","#7ea1d9","#fbb117",11,14,13,14,14,12,13,14,12,12,13,9,5,13,13,13,14,15,14,13,5,5,12,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Benny Hanna","Wayne Gretzky",NA,6,NA,10,18,NA,7,NA,NA,NA,NA,NA,4,NA,10,14,24,12,NA,2,14,21,41,20,14,NA,NA,2,5,NA,3,NA,NA,NA,163,NA,NA,NA,NA,NA,NA,NA,NA
650,"Bobby Bob","S74","Left Wing",187,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/650","Ex0ticDummy","https://simulationhockey.com/member.php?action=profile&uid=7900",2023-09-04,2023-09-28,1771,8525000,NA,"Czechia",0,"IA","Right",15,"6ft 3in",222,"Prague, Czechia",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,12,12,12,12,10,14,10,10,10,10,10,5,13,11,11,11,11,14,11,5,5,10,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bobby Bob","Bob Belcher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,NA,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA
649,"Emil Karlsson","S74","Center",833,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/649","dankoa","https://simulationhockey.com/member.php?action=profile&uid=1946",2015-09-01,NA,NA,89944000,20,"Sweden",111,"Active","Right",28,"6ft 3in",230,"Örnsköldsvik, Sweden",0,21,33,"Montreal Patriotes",60,0,"MTL","#773141","#ffb612","#b0bac4","",9,16,16,16,15,11,17,16,11,15,15,7,12,16,14,13,16,13,16,16,5,5,8,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emil Karlsson","Sebastian Aho",NA,26,NA,65,30,56,151,NA,NA,NA,NA,NA,18,NA,45,28,24,73,NA,2,16,24,60,NA,NA,NA,NA,2,NA,20,3,14,NA,6,170,NA,NA,NA,NA,NA,NA,NA,NA
648,"Julian Kuznatsov","S74","Left Wing",329,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/648","JustHereToLeave","https://simulationhockey.com/member.php?action=profile&uid=6836",2023-01-14,2024-04-01,97500,12900000,NA,"Independent Russia",0,"IA","Right",64,"6ft 0in",176,"St. Petersburg, Russia",12,54,58,"St. Louis Scarecrows",14,1,"STL","#eaaa00","#660000","#cdaf95","#000000",12,14,13,13,13,12,13,12,11,12,11,11,11,12,13,13,13,14,14,13,9,9,11,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Julian Kuznatsov","Artemi Panarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,20,28,24,10,NA,2,12,18,9,20,14,NA,NA,2,NA,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA
647,"Roger Murdock","S74","Center",825,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/647","Mazatt","https://simulationhockey.com/member.php?action=profile&uid=3117",2018-07-05,2024-04-08,4183056,142547000,4,"Latvia",94,"Active","Right",33,"6ft 11in",225,"Harlem , United States",400,50,68,"Carolina Kraken",50,1,"CAR","#cf5b00","#1a1a1a","#f5ece7","",10,15,14,15,11,12,14,15,10,13,13,11,13,14,13,13,14,13,14,14,5,5,5,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roger Murdock","Kareem Abdul-Jabbar",NA,24,NA,60,30,56,138,NA,NA,NA,15,NA,20,NA,45,28,24,70,NA,2,16,24,64,20,NA,NA,NA,2,NA,NA,3,14,NA,NA,170,NA,NA,NA,NA,NA,NA,NA,NA
646,"kyle tompson","S74","Right Wing",157,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/646","HOCKEY_LOVER57","https://simulationhockey.com/member.php?action=profile&uid=7851",2023-08-28,2023-09-08,343,-200000,NA,"USA",0,"IA","Left",77,"6ft 3in",210,"dallas, United States",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,5,5,5,5,5,11,12,5,14,5,10,5,9,13,10,13,14,5,5,5,15,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kyle tompson","Jamie benn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA
645,"Dag-Otto Björntjänst","S74","Center",847,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/645","kenvald","https://simulationhockey.com/member.php?action=profile&uid=4305",2019-11-15,2024-04-14,4874256,169661000,6,"Sweden",55,"Active","Left",95,"6ft 1in",196,"Södertälje, Sweden",0,6,31,"Tampa Bay Barracuda",59,0,"TBB","#000000","#f499c2","#0ad2d2","#ffffff",14,13,16,16,9,7,14,16,14,16,16,12,15,16,15,15,16,15,15,16,5,5,9,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dag-Otto Bjorntjanst","Dag-Otto Flink",NA,26,NA,65,30,56,155,NA,NA,NA,6,NA,18,NA,45,28,24,71,NA,2,16,24,64,NA,NA,NA,NA,2,NA,20,3,14,NA,8,170,NA,NA,NA,NA,NA,NA,NA,NA
644,"Cal Juice","S74","Left Wing",804,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/644","caltroit_red_flames","https://simulationhockey.com/member.php?action=profile&uid=2856",2017-11-27,2024-04-14,6033312,94535999,1,"Czechia",199,"Active","Left",12,"6ft 2in",196,"Prague, Czechia",13,17,24,"Chicago Syndicate",46,0,"CHI","#d9ad00","#000000","","",9,18,13,15,13,12,16,15,11,12,11,8,5,15,16,16,16,16,16,16,5,5,9,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cal Juice","https://cdn.discordapp.com/emojis/639861613880541184.png",NA,26,NA,65,30,56,146,NA,NA,NA,NA,NA,18,NA,45,28,24,74,NA,2,16,24,41,NA,NA,NA,NA,2,5,20,3,14,NA,NA,165,NA,NA,NA,NA,NA,NA,NA,NA
643,"Will Tomlander","S74","Left Wing",826,"2023-09-10T19:42:33.000Z","https://portal.simulationhockey.com/player/643","roastpuff","https://simulationhockey.com/member.php?action=profile&uid=4517",2020-01-13,2024-04-13,2887056,137942167,19,"Sweden",58,"Active","Left",60,"6ft 3in",185,"Rogle, Sweden",401,55,56,"Detroit Falcons",5,1,"DET","#ec2227","#ffffff","#fbac3e","#d3d3d3",12,13,15,15,15,12,15,13,13,12,12,11,5,12,14,13,13,14,15,13,5,5,9,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Will Tomlander","Tom Willander",NA,26,NA,65,30,56,146,NA,NA,NA,10,NA,18,NA,45,28,24,71,NA,7,16,24,61,NA,NA,NA,NA,2,NA,20,3,14,NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA
